jetty,bankSimlator.war,192.168.65.50,/opt/jetty-6.1.22-simlator/webapps,simlator
oc4j,app-intra.ear,192.168.65.98,/opt/oracle/product/10.1.3.1/OracleAS/j2ee/INTRA_OC4J/applications,intra
tomcat-new,app-acctsys-c.war,192.168.65.36,/opt/oracle/tomcat/t-11/webapps,acctsys-c
tomcat-new,app-acctsys-c.war,192.168.65.37,/opt/oracle/tomcat/t-11/webapps,acctsys-c
tomcat-new,app-acctsys-cif.war,192.168.65.38,/opt/oracle/tomcat/t-11/webapps,acctsys-cif
tomcat-new,app-acctsys-cif.war,192.168.65.39,/opt/oracle/tomcat/t-11/webapp,acctsys-cif
tomcat-new,app-acctsys-d.war,192.168.65.36,/opt/oracle/tomcat/t-12/webapps,acctsys-d
tomcat-new,app-acctsys-d.war,192.168.65.37,/opt/oracle/tomcat/t-12/webapps,acctsys-d
tomcat-new,app-acctsys-deal.war,192.168.65.38,/opt/oracle/tomcat/t-8/webapps,acctsys-deal
tomcat-new,app-acctsys-deal.war,192.168.65.39,/opt/oracle/tomcat/t-8/webapps,acctsys-deal
tomcat-new,app-acctsys-dpm.war,192.168.65.36,/opt/oracle/tomcat/t-9/webapps,acctsys-dpm
tomcat-new,app-acctsys-dpm.war,192.168.65.37,/opt/oracle/tomcat/t-9/webapps,acctsys-dpm
tomcat-new,app-acctsys-servicefront.war,192.168.65.38,/opt/oracle/tomcat/t-12/webapps,acctsys-servicefront
tomcat-new,app-acctsys-servicefront.war,192.168.65.39,/opt/oracle/tomcat/t-12/webapps,acctsys-servicefront
tomcat-new,app-acms-server.war,192.168.65.3,/opt/oracle/tomcat/t-7/webapps,app-acms-server
tomcat-new,app-apipay.war,192.168.65.87,/opt/oracle/tomcat/t-1/webapps,apipay
tomcat-new,app-apipay.war,192.168.65.88,/opt/oracle/tomcat/t-1/webapps,apipay
tomcat-new,app-apipay.war,192.168.65.89,/opt/oracle/tomcat/t-1/webapps,apipay
tomcat-new,app-apipay.war,192.168.65.90,/opt/oracle/tomcat/t-1/webapps,apipay
tomcat-new,app-ccs.war,192.168.65.17,/opt/oracle/tomcat/t-6/webapps,ccs
tomcat-new,app-ccs.war,192.168.65.25,/opt/oracle/tomcat/t-6/webapps,ccs
tomcat-new,app-cod.war,192.168.65.17,/opt/oracle/tomcat/t-8/webapps,cod
tomcat-new,app-cod.war,192.168.65.25,/opt/oracle/tomcat/t-8/webapps,cod
tomcat-new,app-crmagent.war,192.168.65.13,/opt/oracle/tomcat/t-4/webapps,crm-agent
tomcat-new,app-crmagent.war,192.168.65.14,/opt/oracle/tomcat/t-4/webapps,crm-agent
tomcat-new,app-dbpool-server.war,192.168.65.23,/opt/oracle/tomcat/t-3/webapps,dbpool-server
tomcat-new,app-dbpool-server.war,192.168.65.24,/opt/oracle/tomcat/t-3/webapps,dbpool-server
tomcat-new,app-demobank.war,192.168.65.200,/opt/oracle/tomcat/t-7/webapps,demobank
tomcat-new,app-fgw.war,192.168.65.13,/opt/oracle/tomcat/t-5/webapps,fgw
tomcat-new,app-fgw.war,192.168.65.14,/opt/oracle/tomcat/t-5/webapps,fgw
tomcat-new,app-fo-inner-settlement.war,192.168.65.38,/opt/oracle/tomcat/t-4/webapps,fo-inner-settlement
tomcat-new,app-fo-inner-settlement.war,192.168.65.39,/opt/oracle/tomcat/t-4/webapps,fo-inner-settlement
tomcat-new,app-fo-processor.war,192.168.65.36,/opt/oracle/tomcat/t-3/webapps,fo-processor
tomcat-new,app-fo-processor.war,192.168.65.37,/opt/oracle/tomcat/t-3/webapps,fo-processor
tomcat-new,app-fundacct.war,192.168.65.200,/opt/oracle/tomcat/t-4/webapps,fundacct
tomcat-new,app-gsso-server.war,192.168.65.200,/opt/oracle/tomcat/t-3/webapps,app-gsso-server
tomcat-new,app-ma-intra.war,192.168.65.3,/opt/oracle/tomcat/t-6/webapps,maintra
tomcat-new,app-ma-mdp-pse-server.war,192.168.65.38,/opt/oracle/tomcat/t-3/webapps,ma-mdp-pse-server
tomcat-new,app-ma-mdp-pse-server.war,192.168.65.39,/opt/oracle/tomcat/t-3/webapps,ma-mdp-pse-server
tomcat-new,app-mbracctprd-manage.war,192.168.65.38,/opt/oracle/tomcat/t-2/webapps,app-mbracctprd-manage
tomcat-new,app-mbracctprd-manage.war,192.168.65.39,/opt/oracle/tomcat/t-2/webapps,app-mbracctprd-manage
tomcat-new,app-monitor-website.war,192.168.65.3,/opt/oracle/tomcat/t-1/webapps,app-monitor-website
tomcat-new,app-osf-pvs.war,192.168.65.5,/opt/oracle/tomcat/t-3/webapps,osf
tomcat-new,app-osfpvs-processer-mdp.war,192.168.65.51,/opt/oracle/tomcat/t-1/webapps,osfpvs-processer-mdp
tomcat-new,app-pe-closing.war,192.168.65.130,/opt/oracle/tomcat/t-1/webapps,app-pe-closing
tomcat-new,app-pe-closing.war,192.168.65.132,/opt/oracle/tomcat/t-1/webapps,app-pe-closing
tomcat-new,app-pe-exceptionlog-mdp.war,192.168.65.133,/opt/oracle/tomcat/t-9/webapps,pe-exceptionlog-mdp
tomcat-new,app-pe-exceptionlog-mdp.war,192.168.65.134,/opt/oracle/tomcat/t-9/webapps,pe-exceptionlog-mdp
tomcat-new,app-pe-hessian-t.war,192.168.65.133,/opt/oracle/tomcat/t-4/webapps,pe-hessian
tomcat-new,app-pe-hessian-t.war,192.168.65.134,/opt/oracle/tomcat/t-4/webapps,pe-hessian
tomcat-new,app-pe-quartz.war,192.168.65.130,/opt/oracle/tomcat/t-9/webapps,app-pe-quartz
tomcat-new,app-pe-quartz.war,192.168.65.132,/opt/oracle/tomcat/t-9/webapps,app-pe-quartz
tomcat-new,app-pe-recon.war,192.168.65.130,/opt/oracle/tomcat/t-2/webapps,app-pe-recon
tomcat-new,app-pe-recon.war,192.168.65.132,/opt/oracle/tomcat/t-2/webapps,app-pe-recon
tomcat-new,app-safecenter.war,192.168.65.200,/opt/oracle/tomcat/t-2/webapps,safecenter
tomcat-new,app-sso.war,192.168.65.200,/opt/oracle/tomcat/t-1/webapps,sso
tomcat-new,app-website.war,192.168.65.5,/opt/oracle/tomcat/t-1/webapps,website
tomcat-new,Ivrapp.war,192.168.65.135,/opt/oracle/tomcat/t-1/webapps,Ivrapp
tomcat-new,Ivrapp.war,192.168.65.136,/opt/oracle/tomcat/t-1/webapps,Ivrapp
tomcat-new,rm-internal-mdp.war,192.168.65.8,/opt/oracle/tomcat/t-2/webapps,rm-internal-mdp
tomcat-new,rm-internal-mdp.war,192.168.65.9,/opt/oracle/tomcat/t-2/webapps,rm-internal-mdp
tomcat-new,rm-rmca.war,192.168.65.38,/opt/oracle/tomcat/t-1/webapps,rm-rmca
tomcat-new,rm-rmca.war,192.168.65.39,/opt/oracle/tomcat/t-1/webapps,rm-rmca
tomcat7-new,app-acct-trx-service.war,192.168.65.55,/opt/oracle/tomcat/t-2/webapps,app-acct-trx-service
tomcat7-new,app-acctsys-a.war,192.168.65.89,/opt/oracle/tomcat/t-2/webapps,acctsys-a
tomcat7-new,app-acctsys-a.war,192.168.65.90,/opt/oracle/tomcat/t-2/webapps,acctsys-a
tomcat7-new,app-aps.war,192.168.65.17,/opt/oracle/tomcat/t-15/webapps,aps
tomcat7-new,app-aps.war,192.168.65.25,/opt/oracle/tomcat/t-15/webapps,aps
tomcat7-new,app-atp-platform.war,192.168.65.133,/opt/oracle/tomcat/t-2/webapps,atp-platform
tomcat7-new,app-atp-platform.war,192.168.65.134,/opt/oracle/tomcat/t-2/webapps,atp-platform
tomcat7-new,app-atp-product.war,192.168.65.96,/opt/oracle/tomcat/t-2/webapps,atp-product
tomcat7-new,app-atp-product.war,192.168.65.97,/opt/oracle/tomcat/t-2/webapps,atp-product
tomcat7-new,app-atp-trade.war,192.168.65.96,/opt/oracle/tomcat/t-1/webapps,atp-trade
tomcat7-new,app-atp-trade.war,192.168.65.97,/opt/oracle/tomcat/t-1/webapps,atp-trade
tomcat7-new,app-bankgateway.war,192.168.65.27,/opt/oracle/tomcat/t-2/webapps,bankgateway
tomcat7-new,app-bankgateway.war,192.168.65.28,/opt/oracle/tomcat/t-2/webapps,bankgateway
tomcat7-new,app-bezel.war,192.168.65.33,/opt/oracle/tomcat/t-3/webapps,bezel
tomcat7-new,app-bezel.war,192.168.65.35,/opt/oracle/tomcat/t-3/webapps,bezel
tomcat7-new,app-bgw-boc-bj-ist.war,192.168.65.50,/opt/oracle/tomcat/t-11/webapps,bgw-boc-bj-ist
tomcat7-new,app-bgw-boc-bj-ist.war,192.168.65.58,/opt/oracle/tomcat/t-11/webapps,bgw-boc-bj-ist
tomcat7-new,app-bgw-boc-bj-ist.war,192.168.65.59,/opt/oracle/tomcat/t-11/webapps,bgw-boc-bj-ist
tomcat7-new,app-bgw-wechat.war,192.168.65.58,/opt/oracle/tomcat/t-12/webapps,bgw-wechat
tomcat7-new,app-bgw-wechat.war,192.168.65.59,/opt/oracle/tomcat/t-12/webapps,bgw-wechat
tomcat7-new,app-bgw.war,192.168.65.47,/opt/oracle/tomcat/t-5/webapps,bgw
tomcat7-new,app-bnp.war,192.168.65.58,/opt/oracle/tomcat/t-5/webapps,bnp
tomcat7-new,app-bnp.war,192.168.65.59,/opt/oracle/tomcat/t-5/webapps,bnp
tomcat7-new,app-boss-intra.war,192.168.65.96,/opt/oracle/tomcat/t-3/webapps,boss-intra
tomcat7-new,app-boss-intra.war,192.168.65.97,/opt/oracle/tomcat/t-3/webapps,boss-intra
tomcat7-new,app-bosswebsite.war,192.168.65.96,/opt/oracle/tomcat/t-4/webapps,bosswebsite
tomcat7-new,app-bosswebsite.war,192.168.65.97,/opt/oracle/tomcat/t-4/webapps,bosswebsite
tomcat7-new,app-bqs.war,192.168.65.21,/opt/oracle/tomcat/t-5/webapps,bqs
tomcat7-new,app-bqs.war,192.168.65.22,/opt/oracle/tomcat/t-5/webapps,bqs
tomcat7-new,app-cif.war,192.168.65.15,/opt/oracle/tomcat/t-4/webapps,cif
tomcat7-new,app-cif.war,192.168.65.16,/opt/oracle/tomcat/t-4/webapps,cif
tomcat7-new,app-cis-tss.war,192.168.65.17,/opt/oracle/tomcat/t-16/webapps,cis-tss
tomcat7-new,app-cis-tss.war,192.168.65.25,/opt/oracle/tomcat/t-16/webapps,cis-tss
tomcat7-new,app-coe-boss-autoopen.war,192.168.65.8,/opt/oracle/tomcat/t-4/webapps,coe-boss-autoopen
tomcat7-new,app-coe-boss-autoopen.war,192.168.65.9,/opt/oracle/tomcat/t-4/webapps,coe-boss-autoopen
tomcat7-new,app-coe-boss-mdp.war,192.168.65.36,/opt/oracle/tomcat/t-4/webapps,coe-boss-mdp
tomcat7-new,app-coe-boss-mdp.war,192.168.65.37,/opt/oracle/tomcat/t-4/webapps,coe-boss-mdp
